utc_time,network,seconds_on_screen,program,text
2021-09-09 00:13:00,FOXNEWSW,13,FOXNEWSW_20210909_000000_Tucker_Carlson_Tonight/start/780,SEAN DUFFY R FORMER WISCONSIN CONGRESSMAN
2021-09-09 00:37:00,FOXNEWSW,5,FOXNEWSW_20210909_000000_Tucker_Carlson_Tonight/start/2220,JOE BASTARDI WEAPONIZATION OF WEATHER AUTHOR
2021-09-09 01:00:00,FOXNEWSW,5,FOXNEWSW_20210909_000000_Tucker_Carlson_Tonight/start/3600,AODURT FARNKN INJ SATURDAY MAY 21 2022
2021-09-09 05:06:00,FOXNEWSW,18,FOXNEWSW_20210909_050000_Tucker_Carlson_Tonight/start/360,JOE KENT R WA CONGRESSIONAL CANDIDATE
2021-09-09 05:37:00,FOXNEWSW,12,FOXNEWSW_20210909_050000_Tucker_Carlson_Tonight/start/2220,R AMERICA IS NO STRANGER TO WEIRD WEATHER EVENTS
2021-09-09 05:56:00,FOXNEWSW,27,FOXNEWSW_20210909_050000_Tucker_Carlson_Tonight/start/3360,OPENMINDED LIBERALS ATTACK CORONA VICTIMS
2021-09-09 06:00:00,FOXNEWSW,9,FOXNEWSW_20210909_050000_Tucker_Carlson_Tonight/start/3600,PRISONERS FREED IN OBAMAS BERGDAHL SWAP NOW IN TAIIRAN IEADERSHIP
2021-09-10 00:19:00,FOXNEWSW,22,FOXNEWSW_20210910_000000_Tucker_Carlson_Tonight/start/1140,RUNNING FOR CALIFORNIA GOVERNOR LARRY ELDER R
2021-09-10 00:20:00,FOXNEWSW,17,FOXNEWSW_20210910_000000_Tucker_Carlson_Tonight/start/1200,LARRY ELDER R RUNNING FOR CALIFORNIA GOVERNOR
2021-09-10 00:22:00,FOXNEWSW,44,FOXNEWSW_20210910_000000_Tucker_Carlson_Tonight/start/1320,LARRY ELDER R RUNNING FOR CALIFORNIA GOVERNOR
2021-09-10 00:23:00,FOXNEWSW,17,FOXNEWSW_20210910_000000_Tucker_Carlson_Tonight/start/1380,LARRY ELDER R RUNNING FOR CALIFORNIA GOVERNOR
2021-09-10 00:39:00,FOXNEWSW,30,FOXNEWSW_20210910_000000_Tucker_Carlson_Tonight/start/2340,CHINA CLEARLY HAS NO RESPECT FOR BIDEN
2021-09-10 00:51:00,FOXNEWSW,43,FOXNEWSW_20210910_000000_Tucker_Carlson_Tonight/start/3060,PETER BOGHOSSIAN RESIGNED FROM PORTLAND STATE UNIV
2021-09-10 00:52:00,FOXNEWSW,17,FOXNEWSW_20210910_000000_Tucker_Carlson_Tonight/start/3120,PETER BOGHOSSIAN RESIGNED FROM PORTLAND STATE UNIV
2021-09-10 05:19:00,FOXNEWSW,7,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/1140,IARRY ELDER R RUNNING FOR CAIIFORNIA GOVERNOR
2021-09-10 05:20:00,FOXNEWSW,17,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/1200,LARRY ELDER R RUNNING FOR CALIFORNIA GOVERNOR
2021-09-10 05:22:00,FOXNEWSW,44,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/1320,LARRY ELDER R RUNNING FOR CALIFORNIA GOVERNOR
2021-09-10 05:23:00,FOXNEWSW,18,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/1380,LARRY ELDER COULD BE CALIFORNIAS NEXT GOVERNOR
2021-09-10 05:39:00,FOXNEWSW,31,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/2340,GORDON CHANG GATESTONE INSTITUTE SENIOR FELLOW
2021-09-10 05:40:00,FOXNEWSW,19,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/2400,CHINA WARPLANES ENTER TAIWANS AIR DEFENSE ZONE
2021-09-10 05:49:00,FOXNEWSW,31,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/2940,UNIVERSITIES BECOMING CULTISH TOTALITARIAN
2021-09-10 05:51:00,FOXNEWSW,43,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/3060,PETER BOGHOSSIAN RESIGNED FROM PORTLAND STATE UNIV
2021-09-10 05:52:00,FOXNEWSW,18,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/3120,PETER BOGHOSSIAN RESIGNED FROM PORTLAND STATE UNIV. PORTLAND PROFESSOR RESIGNS AND SLAMS LINIVERSITY AS SOCIALI NISTICE EACTORY
2021-09-10 05:58:00,FOXNEWSW,7,FOXNEWSW_20210910_050000_Tucker_Carlson_Tonight/start/3480,CUNINVIIODDIVIN HOMES UNDER 150000 WILL HAVE A MINIMUM LIST SIDE COMMISSION OF 3000
2021-09-11 00:26:00,FOXNEWSW,16,FOXNEWSW_20210911_000000_Tucker_Carlson_Tonight/start/1560,THOUSANDS OF BIOMETRIC DEVICES LEFT IN AFGHANISTAN
2021-09-11 00:27:00,FOXNEWSW,35,FOXNEWSW_20210911_000000_Tucker_Carlson_Tonight/start/1620,KEITH ROSE FMR MEMBER OF INTEL COMMUNITY
2021-09-11 00:29:00,FOXNEWSW,16,FOXNEWSW_20210911_000000_Tucker_Carlson_Tonight/start/1740,KEITH ROSE FMR MEMBER OF INTEL COMMUNITY. FORMER INTEL COMMUNITY MEMBER WE 1EETIETHAI AIDTO A TERRORIST ORGANIZATION
2021-09-11 00:44:00,FOXNEWSW,5,FOXNEWSW_20210911_000000_Tucker_Carlson_Tonight/start/2640,RECORD NUMBER OF BORDER APPREHENSIONS THIS SUMMER
2021-09-11 00:59:00,FOXNEWSW,30,FOXNEWSW_20210911_000000_Tucker_Carlson_Tonight/start/3540,20TH ANNIVERSARY OF THE SEPTEMBER 11TH ATTACKS
