"word","BBC","CNN","FOX","MSNBC"
"unexplained","0","16","0","0"
"health","320","494","73","345"
"incidents","0","24","5","8"
"conducting","0","6","3","0"
"citizens","14","49","34","49"
"arrest","17","77","23","34"
"prosecutor","24","123","9","41"
"jonathan","17","86","49","32"
"moore","0","6","10","32"
"margaret","1","18","3","1"
"uyehara","0","1","0","0"
"appointed","49","1","0","1"
"secretary","254","429","396","212"
"doesnt","9","99","34","62"
"know","6","137","29","60"
"strange","0","3","3","0"
"condition","9","3","4","18"
"entails","0","2","0","0"
"variety","0","12","0","0"
"nervous","0","9","5","4"
"system","100","190","38","57"
"victims","46","87","69","98"
"vertigo","0","1","0","0"
"headaches","0","3","1","1"
"kvlie","0","1","0","0"
"atwood","0","18","0","0"
"security","206","335","117","246"
"young","14","106","22","52"
"activists","15","54","35","47"
"demand","26","89","65","43"
"action","25","172","58","157"
"climate","200","536","150","483"
"crisis","333","260","602","175"
"phil","0","99","23","52"
"black","36","188","38","195"
"thunberg","1","13","0","5"
"cop26","6","73","4","36"
"global","112","173","53","91"
"north","124","180","51","50"
"greenwash","0","3","0","0"
"activist","7","11","16","22"
"slams","0","97","159","83"
"un","345","204","57","133"
"summit","37","113","40","78"
"failure","9","24","58","52"
"protests","65","74","30","44"
"planned","30","28","27","77"
"glasgow","3","27","2","28"
"cities","5","66","48","19"
"billed","0","3","1","0"
"agents","2","106","129","63"
"compensated","0","7","1","8"
"upon","7","17","2","12"
"enroliment","0","7","0","0"
"obligation","0","2","3","5"
"enroll","0","2","3","6"
"healthmarkets","0","1","2","3"
"fitscore","0","1","2","0"
"intends","0","5","2","0"
"identify","0","3","3","2"
"fit","0","4","3","1"
"needs","29","55","43","31"
"carefully","0","1","2","2"
"review","62","78","34","72"
"plan","215","668","341","681"
"materials","0","6","8","5"
"camfully","0","1","0","0"
"ial","0","1","3","0"
"rodaers","0","1","0","0"
"blames","0","63","99","20"
"controversy","1","8","19","21"
"critical","18","205","54","125"
"thinker","0","2","0","0"
"tested","10","73","7","19"
"positive","13","129","54","64"
"virus","33","75","25","55"
"earlier","13","12","4","4"
"yorkshire","6","4","0","0"
"ccc","0","4","0","0"
"facing","49","137","74","149"
"backlash","23","38","106","69"
"racism","22","19","18","49"
"takes","50","121","113","149"
"disciplinary","0","16","0","4"
"withdraw","0","5","28","48"
"partnerships","0","4","3","0"
"don","0","69","17","5"
"riddell","0","2","0","0"
"world","187","253","366","154"
"sport","32","3","17","1"
"include","43","153","25","110"
"fast","7","42","12","13"
"irregular","0","11","0","4"
"heartbeat","3","15","1","45"
"lightheadedness","0","9","0","0"
"dizziness","0","9","0","8"
"shortness","0","9","0","0"
"breath","0","9","1","2"
"feet","7","13","0","15"
"ankles","0","7","0","8"
"legs","0","2","1","10"
"chest","4","2","0","8"
"discomfort","0","3","0","8"
"fainting","0","2","0","41"
"imbruvica","0","60","4","0"
"ibrutinib","0","64","1","4"
