"word","BBC","CNN","FOX","MSNBC"
"segment","1","0","4","0"
"leo","1","0","45","0"
"terrell","0","0","44","0"
"sexton","0","0","12","0"
"youssefphd","0","0","2","0"
"iiberai","0","0","1","0"
"ritienhouse","0","0","1","0"
"motto","0","0","6","0"
"yourthroat","0","0","2","0"
"f7","0","0","1","0"
"rinen","0","0","12","0"
"i.iamc","0","0","1","0"
"nmtimdt","0","0","1","0"
"idiii","0","0","1","0"
"witu","0","0","6","0"
"iay","0","0","14","0"
"mammtf","0","0","1","0"
"mnnnnv","0","0","2","0"
"mﬂaic","0","0","2","0"
"aii.iatc","0","0","2","0"
"nimc","0","0","4","0"
"dani","0","0","6","0"
"bril","0","0","3","0"
"open.borders","0","0","2","0"
"hiecal","0","0","3","0"
"immipdamt","0","0","3","0"
"dncn","0","0","3","0"
"mim","0","0","3","0"
"imtid","0","0","3","0"
"tueii","0","0","3","0"
"r.fl","0","0","51","0"
"X8w","0","0","5","0"
"misplaced","0","0","9","0"
"weakening","0","0","4","0"
"tluedadicai","0","0","2","0"
"aiiai","0","0","2","0"
"imim","0","0","2","0"
"admlh","0","0","2","0"
"eadcec","0","0","2","0"
"inaic","0","0","1","0"
"iipi.it","0","0","3","0"
"aimct","0","0","1","0"
"ﬁci.ia","0","0","1","0"
"tvd","0","0","1","0"
"aniniv","0","0","1","0"
"uavwiely","0","0","2","0"
"aiamtc","0","0","2","0"
"diii","0","0","7","0"
"nelc","0","0","1","0"
"i.itc","0","0","2","0"
"dadeanitc","0","0","2","0"
"ead","0","0","18","0"
"dadenitc","0","0","5","0"
"X855.97.steel","0","0","7","0"
"crumbling","0","0","2","0"
"cty","1","0","34","0"
"tierney","0","0","6","0"
"suffolk","3","0","9","0"
"attorney.elect","0","0","4","0"
"embarrassed","0","0","4","0"
"wvax","0","0","1","0"
"X.n","0","0","3","0"
"enaikel","0","0","1","0"
"X.night","0","0","50","0"
"opping","0","0","2","0"
"r.ut","0","0","7","0"
"andate","0","0","2","0"
"llenas","0","0","4","0"
"skydivers","0","0","1","0"
"frozen","13","0","2","0"
"stumbles","0","0","5","0"
"X55.foot","0","0","1","0"
"disarms","0","0","3","0"
"correctional","0","0","2","0"
"doggone","0","0","1","0"
"clumsy","0","0","1","0"
"backyard","0","0","4","0"
"thieves","3","0","2","0"
"vessel","0","0","4","0"
"secs","0","0","2","0"
"octonrd","0","0","1","0"
"bearman","0","0","4","0"
"minimal","0","0","1","0"
"durrs","0","0","1","0"
"usapsigeern","0","0","1","0"
"underscore","0","0","1","0"
"popeyes","0","0","3","0"
"shutters","0","0","2","0"
"rats","0","0","4","0"
"hyman","0","0","2","0"
"claypool","0","0","3","0"
"unclean","0","0","1","0"
"gorilla","0","0","7","0"
"nativity","0","0","1","0"
"arer","0","0","1","0"
"wwo","0","0","1","0"
"s8","0","0","3","0"
"pretends","0","0","5","0"
"ramon","0","0","9","0"
"soquel","0","0","6","0"
"onnonn_141a2","0","0","1","0"
"iawsuit","0","0","1","0"
"yét","0","0","6","0"
"outkick","0","0","29","0"
"indoctrination","0","0","21","0"
"onn","0","0","25","0"
"X2od","0","0","9","0"
"nt7nnd","0","0","5","0"
"ingran","0","0","2","0"
"contribute","3","0","1","0"
"vinienit","0","0","1","0"
"dimimai","0","0","1","0"
"tai","0","0","10","0"
"imp","0","0","6","0"
"ahiamtmi","0","0","1","0"
"dim","0","0","1","0"
"radnedc","0","0","1","0"
"iilegal","0","0","1","0"
"agains","0","0","1","0"
"alfredo","0","0","1","0"
"cine","0","0","1","0"
"X1av","0","0","1","0"
"eacl","0","0","1","0"
"linvacciniater","0","0","1","0"
"wadved","0","0","1","0"
"sub.source","0","0","2","0"
"manjarrez","0","0","3","0"
"apprehensions","0","0","8","0"
"adia","0","0","3","0"
"mww","0","0","1","0"
"rpey","0","0","2","0"
"positivenfor","0","0","1","0"
"scarry","0","0","13","0"
"t8","1","0","1","0"
"unseats","0","0","2","0"
"X5.year.olds","0","0","7","0"
"X.al","0","0","5","0"
"acent","0","0","6","0"
"X414","0","0","2","0"
"o74oo2","0","0","2","0"
"stamps","0","0","4","0"
"comt","0","0","4","0"
"wettrtn","0","0","1","0"
"fitton","0","0","1","0"
"ubrelvy","0","0","1","0"
"mayra","0","0","3","0"
"tenured","0","0","3","0"
"sonne","0","0","1","0"
"congressw","0","0","2","0"
"eqy","0","0","5","0"
"friondc","0","0","1","0"
"rucking","0","0","1","0"
"iov","0","0","10","0"
"dossiers","0","0","1","0"
"spree","0","0","30","0"
"griff","0","0","15","0"
"ezed","0","0","1","0"
"ohsake","0","0","1","0"
"ryrelsis","0","0","9","0"
"gunfight","0","0","1","0"
"eiad","0","0","1","0"
"fntit","0","0","3","0"
"tolman","0","0","9","0"
"eternals","0","0","1","0"
"mcaulife","0","0","3","0"
"onmoderate","0","0","1","0"
"zt","0","0","4","0"
"underperforming","0","0","1","0"
"siegel","0","0","13","0"
"fighterout","0","0","1","0"
"douglass","0","0","4","0"
"outnow","0","0","2","0"
"matchups","0","0","5","0"
"aunuay","0","0","1","0"
"X1iuufm","0","0","1","0"
"X467","0","0","1","0"
"refund","0","0","3","0"
"laduk","0","0","4","0"
"vefarkimeni","0","0","3","0"
"honduran","5","0","1","0"
"homan","0","0","28","0"
"unaccompanied","0","0","16","0"
"lret","0","0","2","0"
"r.in","0","0","12","0"
"ufc","0","0","20","0"
"ufcfirst","0","0","2","0"
"ufcs","0","0","1","0"
"lastmay","0","0","1","0"
"rrri","0","0","1","0"
"X.le","0","0","1","0"
"l_breaking","0","0","3","0"
"hurtle","0","0","1","0"
"hurtie","0","0","1","0"
"pragmatic","0","0","1","0"
"meat","5","0","9","0"
"jacqui","0","0","9","0"
"heinrich","0","0","9","0"
"cipe","0","0","1","0"
"nadie","0","0","1","0"
"jonaithran","0","0","1","0"
"turley","0","0","13","0"
"coniribuior","0","0","4","0"
"obamacare","0","0","4","0"
"wheeler","0","0","5","0"
"widows","0","0","2","0"
"failen","0","0","1","0"
"slutman","0","0","3","0"
"struggies","0","0","1","0"
"far.","0","0","1","0"
"crossfire","0","0","2","0"
"schooiing","0","0","3","0"
"kindercare","0","0","2","0"
"anti.bias","0","0","1","0"
"smigrant","0","0","1","0"
"deniai","0","0","1","0"
"execute","0","0","7","0"
"ex.husband","0","0","4","0"
"miiiion","0","0","3","0"
"X22om","0","0","1","0"
"fastest.growing","0","0","1","0"
"kilmeade","0","0","11","0"
"kilmeades","0","0","5","0"
"mas","1","0","1","0"
"r.caj","0","0","1","0"
"fcc","0","0","1","0"
"plowing","0","0","2","0"
"voti","0","0","12","0"
"manhoim","0","0","1","0"
"bls","0","0","1","0"
"nflinvestigating","0","0","1","0"
"protocolﬂ","0","0","1","0"
"referenced","0","0","5","0"
"rneaac","0","0","1","0"
"tdv","0","0","1","0"
"dacc","0","0","2","0"
"illnlkl","0","0","8","0"
"cffiai","0","0","1","0"
"oieve","0","0","3","0"
"whif","0","0","2","0"
"breii","0","0","1","0"
"attv","0","0","1","0"
"eaad","0","0","5","0"
"fiimtam","0","0","1","0"
"aniiced","0","0","1","0"
"diiidem","0","0","1","0"
"inidiataaenit","0","0","1","0"
"jgi","0","0","1","0"
"cteeie","0","0","1","0"
"naccied","0","0","1","0"
"cailidcle","0","0","1","0"
"cuadcen","0","0","1","0"
"lvinic","0","0","1","0"
"mediapolitics","0","0","2","0"
"mcclintockr","0","0","1","0"
"bden","0","0","3","0"
"mcclintock","0","0","3","0"
"huse","0","0","1","0"
"brooke","0","0","8","0"
"corbett","0","0","5","0"
"motheryoungkin","0","0","5","0"
"karens","0","0","9","0"
"categorized","0","0","1","0"
"wvoters","0","0","1","0"
"vernon","0","0","1","0"
"canni","0","0","5","0"
"dciaci","0","0","2","0"
"cdeai","0","0","1","0"
"amih","0","0","3","0"
"ril","0","0","1","0"
"diicli","0","0","1","0"
"X2o4","0","0","3","0"
"o57","0","0","2","0"
"X3981","0","0","1","0"
"X327","0","0","10","0"
"X2o3","0","0","6","0"
"o56","0","0","2","0"
"hoidout","0","0","3","0"
"tugker","0","0","5","0"
"detox","0","0","1","0"
"iieberman","0","0","1","0"
"wis","0","0","1","0"
"ees","3","0","5","0"
"vaxxed","0","0","5","0"
"azq","0","0","1","0"
"evocabuild","0","0","1","0"
"tna","0","0","1","0"
"riret","0","0","1","0"
"kitchen","0","0","8","0"
"devour","0","0","1","0"
"kfc","0","0","1","0"
"shuttle","0","0","3","0"
"X_repoi","0","0","2","0"
"shcm1","0","0","1","0"
"ercory","0","0","1","0"
"X.report","0","0","2","0"
"idle","0","0","1","0"
"chuckles","0","0","1","0"
"hardships","0","0","1","0"
"harold","0","0","10","0"
"preanant","0","0","2","0"
"laughable","0","0","1","0"
"hegseth","0","0","24","0"
"mulvaney","0","0","2","0"
"cont","0","0","1","0"
"waltz","0","0","17","0"
"fleischer","0","0","21","0"
"exists","0","0","3","0"
"superheroes","0","0","2","0"
"tribal","2","0","1","0"
"pronouns","0","0","6","0"
"khakis","0","0","1","0"
"jesses","0","0","2","0"
"nutty","0","0","1","0"
"purege","0","0","1","0"
"lawlessness","0","0","13","0"
"hume","0","0","29","0"
"hurtful","0","0","8","0"
"governor.elect","0","0","14","0"
"rufo","0","0","10","0"
"powerless","0","0","6","0"
"revise","0","0","2","0"
"prempeh","0","0","5","0"
"annoying","0","0","4","0"
"imiey","0","0","1","0"
"eanine","0","0","5","0"
"pirro","0","0","23","0"
"jeanine","0","0","47","0"
"ziily","0","0","1","0"
"governor.","0","0","1","0"
"repeated","4","0","2","0"
"spectacularly","0","0","3","0"
"obsessive","0","0","4","0"
"X2ty","0","0","1","0"
"post.racial","0","0","3","0"
"colorblind","0","0","3","0"
"liiai","0","0","4","0"
"ctati","0","0","5","0"
"ctdatecv","0","0","2","0"
"eaiise","0","0","1","0"
"tlec","0","0","6","0"
"ﬁdc","0","0","4","0"
"kiiai","0","0","1","0"
"tdatipv","0","0","3","0"
"lame","0","0","2","0"
"quacks","0","0","2","0"
"ue","0","0","1","0"
"iatedc","0","0","1","0"
"apimna","0","0","2","0"
"nationmindneg","0","0","1","0"
"atedc","0","0","1","0"
"nationmindng","0","0","1","0"
"goochland","0","0","2","0"
"member.elect","0","0","2","0"
"influencing","0","0","1","0"
"lazy","0","0","2","0"
"muddled","0","0","2","0"
"rambling","0","0","5","0"
"australla","5","0","14","0"
"sfhpd","0","0","1","0"
"beliefs","0","0","6","0"
"nnrmoc","0","0","3","0"
"imd","0","0","6","0"
"didcﬁmai","0","0","4","0"
"rei","0","0","5","0"
"iiic","0","0","4","0"
"tonmanl","0","0","1","0"
"luall","0","0","3","0"
"sfto","0","0","3","0"
"spaces","0","0","2","0"
"cani","0","0","1","0"
"edani","0","0","4","0"
"mamnati","0","0","2","0"
"fnlln","0","0","7","0"
"vead","0","0","5","0"
"nainc","0","0","2","0"
"mmnmmr","0","0","3","0"
"fiimfi","0","0","3","0"
"mamiatic","0","0","4","0"
"vinc","0","0","6","0"
"ingraham","0","0","38","0"
"pigs","2","0","1","0"
"aov","0","0","1","0"
"bream","0","0","10","0"
"ghtq","0","0","1","0"
"ronna","0","0","8","0"
"mcdaniel","0","0","8","0"
"ersey","0","0","1","0"
"etnght","0","0","1","0"
"gricrt","0","0","1","0"
"commonwealth","1","0","1","0"
"high.flying","0","0","1","0"
"backelip","0","0","1","0"
"scooter","0","0","1","0"
"jiggy","0","0","2","0"
"crabs","0","0","2","0"
"coyotes","0","0","2","0"
"extort","0","0","2","0"
"geiting","0","0","1","0"
"extortion","0","0","1","0"
"cycle","2","0","6","0"
"beliwether","0","0","2","0"
"pundits","0","0","2","0"
"agonize","0","0","1","0"
"density","0","0","1","0"
"amputee","0","0","1","0"
"eighth","0","0","1","0"
"unused","0","0","4","0"
"gienn","0","0","1","0"
"p4","18","0","1","0"
"emcon","0","0","1","0"
"piice","5","0","1","0"
"minneois","0","0","1","0"
"gov.elect","0","0","2","0"
"passionate","0","0","1","0"
"eth","0","0","1","0"
"vwa","0","0","1","0"
"ren","6","0","1","0"
"X223","0","0","1","0"
"r_","0","0","3","0"
"ﬁé","0","0","3","0"
"g_","0","0","2","0"
"oatedc","0","0","1","0"
"danifai","0","0","1","0"
"apimia","0","0","1","0"
"matinmaiini","0","0","1","0"
"nnactadc","0","0","1","0"
"taan","0","0","1","0"
"caniedan","0","0","1","0"
"iﬁd","0","0","2","0"
"shockwave","0","0","1","0"
"folk","0","0","5","0"
"inal","0","0","1","0"
"marki","0","0","2","0"
"drafts","0","0","3","0"
"sami","0","0","1","0"
"minneapoiis","0","0","1","0"
"olice","0","0","1","0"
"da.elect","0","0","2","0"
"nassau","0","0","1","0"
"deafening","0","0","1","0"
"cargile","0","0","3","0"
"pomona","0","0","1","0"
"nt7nd","0","0","1","0"
"n7nnd","0","0","8","0"
"non.citizen","0","0","2","0"
"syndie","0","0","2","0"
"failla","0","0","10","0"
"stefanik","0","0","3","0"
"r.","0","0","3","0"
"yj","0","0","1","0"
"eoor","0","0","1","0"
"mcgurn","0","0","7","0"
"general.elect","0","0","3","0"
"mbruwca","0","0","4","0"
"rlxuvaluy","0","0","1","0"
"isemann","0","0","2","0"
"nj.o7","0","0","2","0"
"ramaswamy","0","0","18","0"
"resp","0","0","3","0"
"recnerake","0","0","2","0"
"resperate","0","0","1","0"
"resperaie","0","0","1","0"
"huckabee","0","0","10","0"
"bns","0","0","1","0"
"doritos","0","0","1","0"
"locos","0","0","1","0"
"eeeeeeeee","0","0","1","0"
"ilegal","0","0","1","0"
"gty","0","0","1","0"
"eiaad","0","0","1","0"
"vel","1","0","1","0"
"mcadams","0","0","3","0"
"stranger","0","0","3","0"
"lifeboat","1","0","1","0"
"availablenow","0","0","1","0"
"movenent","0","0","1","0"
"mom_","0","0","1","0"
"frlends","0","0","1","0"
"X7.","0","0","1","0"
"mat","0","0","1","0"
"rifle","0","0","6","0"
"veteran.focused","0","0","1","0"
"an17_27","0","0","1","0"
"s4","0","0","1","0"
"iey","0","0","1","0"
"sling","0","0","5","0"
"esfii","0","0","5","0"
"fbiden","0","0","1","0"
"winsone","0","0","1","0"
"raceto","0","0","1","0"
"divde","0","0","1","0"
"anerica","0","0","5","0"
"tseonyy","0","0","1","0"
"ryrelsuis","0","0","12","0"
"jocko","0","0","3","0"
"willink","0","0","3","0"
"co.owner","0","0","5","0"
"gnc","0","0","1","0"
"donates","0","0","1","0"
"merging","0","0","1","0"
"pro.athletes","0","0","1","0"
"aan","0","0","3","0"
"aishah","0","0","6","0"
"hasnie","0","0","6","0"
"ihune","0","0","1","0"
"r.od","0","0","1","0"
"oenaie","0","0","1","0"
"minoriiy","0","0","1","0"
"amanicluin","0","0","1","0"
"aiic","0","0","1","0"
"dici","0","0","1","0"
"iitc","0","0","2","0"
"aiai","0","0","1","0"
"X11d","0","0","5","0"
"calldn","0","0","1","0"
"down.ballot","0","0","1","0"
"normally","2","0","4","0"
"eay","0","0","3","0"
"ddane","0","0","1","0"
"wwitnieccec","0","0","1","0"
"minitidie","0","0","1","0"
"micdanit","0","0","1","0"
"addivvaic","0","0","1","0"
"schiliro","0","0","1","0"
"nmnrn","0","0","1","0"
"aiii","0","0","2","0"
"i.i","0","0","8","0"
"nitic","0","0","1","0"
"iyy","0","0","1","0"
"big.government","0","0","3","0"
"flagged","0","0","4","0"
"escecrnrr","0","0","1","0"
"newt","0","0","35","0"
"gingrichs","0","0","1","0"
"X77.249.5481","0","0","1","0"
"meister","0","0","2","0"
"irarrative","0","0","1","0"
"charwoman","0","0","1","0"
"catchphrase","0","0","1","0"
"forlosses","0","0","1","0"
"X2oty","0","0","1","0"
"virginialosses","0","0","1","0"
"ze7rer","0","0","1","0"
"njs","0","0","5","0"
"X452","0","0","1","0"
"xti","0","0","1","0"
"extin","0","0","1","0"
"l7777","0","0","1","0"
"zorfiton","0","0","1","0"
"atssiss","0","0","1","0"
"fz","0","0","3","0"
"acliec","0","0","1","0"
"ealiat","0","0","1","0"
"ceniate","0","0","1","0"
"lueadina","0","0","1","0"
"rreports","0","0","2","0"
"zcv.é","0","0","1","0"
"X82855154","0","0","2","0"
"a2t","0","0","1","0"
"jamerica","0","0","1","0"
"buids","0","0","1","0"
"warheads","0","0","1","0"
"brsns","0","0","4","0"
"ranian","0","0","1","0"
"armageddon","0","0","1","0"
"okc","0","0","4","0"
"teac","0","0","1","0"
"iers","0","0","1","0"
"widener","0","0","1","0"
"oidrr","0","0","1","0"
"djurn","0","0","1","0"
"lumdburg","0","0","1","0"
"dials","0","0","3","0"
"bjorkin","0","0","1","0"
"lombur","0","0","1","0"
"upenhagen","0","0","1","0"
"consenju","0","0","1","0"
"copenhagen","2","0","5","0"
"senator.elect","0","0","1","0"
"iees","0","0","1","0"
"eil","2","0","1","0"
"russ","0","0","3","0"
"vought","0","0","3","0"
"omb","0","0","1","0"
"kr","0","0","1","0"
"iineitain","0","0","1","0"
"jjm","0","0","1","0"
"seismic","0","0","1","0"
"X55k","0","0","1","0"
"renewing","0","0","3","0"
"icect","0","0","1","0"
"deciicec","0","0","1","0"
"caenacts","0","0","1","0"
"nasato","0","0","1","0"
"planetary","0","0","2","0"
"mankind","0","0","1","0"
"nario","0","0","1","0"
"fasa","0","0","1","0"
"totest","0","0","1","0"
"ssion","0","0","1","0"
"vev","0","0","2","0"
"iﬂcciid","0","0","1","0"
"caailidce","0","0","1","0"
"dic","0","0","4","0"
"inl","0","0","14","0"
"cnlidt","0","0","1","0"
"nnccuo","0","0","2","0"
"cailidce","0","0","1","0"
"cnalidt","0","0","1","0"
"cﬂl","0","0","1","0"
"idcc","0","0","1","0"
"inlcnalidt","0","0","2","0"
"cdaliaaa","0","0","1","0"
"iian","0","0","1","0"
"addiiai","0","0","1","0"
"iimtii","0","0","1","0"
"crnpr","0","0","1","0"
"coamdaniec","0","0","1","0"
"aiadm","0","0","1","0"
"tict","0","0","2","0"
"mamiati","0","0","5","0"
"cct","0","0","1","0"
"emw","0","0","1","0"
"X4o1","0","0","1","0"
"egregiously","0","0","1","0"
"incorrect","0","0","1","0"
"digging","0","0","2","0"
"f.x","0","0","1","0"
"X7fox","0","0","2","0"
"iito","0","0","1","0"
"newbook","0","0","1","0"
"mariah","0","0","3","0"
"careys","0","0","2","0"
"langley","2","0","2","0"
"cashed","0","0","2","0"
"vseeeciaf","0","0","1","0"
"connects","0","0","2","0"
"establishments","0","0","1","0"
"cicely","0","0","1","0"
"r.mn","0","0","1","0"
"tidal","0","0","1","0"
"cramps","0","0","1","0"
"conundrum","0","0","2","0"
"hefty","0","0","1","0"
"tehran","1","0","1","0"
"maritime","0","0","1","0"
"conditional","0","0","1","0"
"beaming","0","0","1","0"
"tripp","0","0","3","0"
"eessucenen","0","0","1","0"
"wallskog","0","0","1","0"
"orthopedic","0","0","1","0"
"bongino","0","0","27","0"
"ass","0","0","2","0"
"winsom","0","0","1","0"
"eeeeeeer","0","0","1","0"
"snerdley","0","0","1","0"
"wabc","0","0","1","0"
"alienates","0","0","1","0"
"untruthful","0","0","1","0"
"milk","0","0","1","0"
"diicliec","0","0","2","0"
"cacialict","0","0","2","0"
"azicl","0","0","1","0"
"X1ict","0","0","1","0"
"r.ny","0","0","12","0"
"deiaci","0","0","1","0"
"avalasle","0","0","1","0"
"villanueva","0","0","9","0"
"melugin","0","0","57","0"
"datec","0","0","2","0"
"acc","0","0","2","0"
"dliriic","0","0","2","0"
"diidinic","0","0","3","0"
"climamit","0","0","2","0"
"bidento","0","0","3","0"
"deceptions","0","0","4","0"
"blunders","0","0","14","0"
"lamenting","0","0","1","0"
"zmi2","0","0","1","0"
"vj","0","0","1","0"
"earhardt","0","0","10","0"
"issueinvagov","0","0","1","0"
"X.3.2","0","0","5","0"
"towery","0","0","4","0"
"insideradvantage","0","0","4","0"
"pollsters","0","0","5","0"
"bv","5","0","4","0"
"fsfmz","0","0","1","0"
"strength.based","0","0","2","0"
"techniques","0","0","2","0"
"anti.raciem","0","0","2","0"
"predictably","0","0","1","0"
"X5222","0","0","1","0"
"prehistoric","0","0","2","0"
"detached","0","0","5","0"
"milloy","0","0","2","0"
"canterbury","0","0","3","0"
"slips","0","0","3","0"
"stalling","0","0","3","0"
"anti.black","0","0","3","0"
"anti.child","0","0","1","0"
"oters","0","0","1","0"
"eesms","0","0","1","0"
"murderapolis","0","0","2","0"
"tenney","0","0","15","0"
"dismantling","0","0","7","0"
"demographics","0","0","1","0"
"bowmans","0","0","1","0"
"curious","1","0","2","0"
"parrot","0","0","8","0"
"photobombs","0","0","1","0"
"pee.yew","0","0","2","0"
"corpse","0","0","4","0"
"flower","0","0","4","0"
"odor","0","0","3","0"
"pee.","0","0","1","0"
"yew","0","0","1","0"
"staef","0","0","4","0"
"repeat.","4","0","3","0"
"mirroring","0","0","1","0"
"tirade","0","0","3","0"
"thomas.kennedy","0","0","6","0"
"self.","0","0","1","0"
"proclﬁaimed","0","0","1","0"
"abolitionisii","0","0","1","0"
"abolition","0","0","1","0"
"legislating","0","0","3","0"
"churchs","0","0","2","0"
"andell","0","0","1","0"
"feeding","1","0","2","0"
"kitten","0","0","1","0"
"ulou","0","0","14","0"
"llearlaptions","0","0","21","0"
"tights","0","0","6","0"
"availasle","0","0","1","0"
"lien","0","0","2","0"
"carleon","0","0","7","0"
"tdei","0","0","5","0"
"raam","0","0","2","0"
"finalstretch","0","0","3","0"
"z23","0","0","1","0"
"ehealth","0","0","1","0"
"X873yr","0","0","1","0"
"X33ooo","0","0","2","0"
"enrolled","0","0","1","0"
"mapd","0","0","1","0"
"rx","0","0","1","0"
"X1o152o.1272o","0","0","1","0"
"otcqb","0","0","4","0"
"thrown","3","0","2","0"
"X7o12oq992","0","0","1","0"
"anacy","0","0","1","0"
"ennn","0","0","1","0"
"X7o1_oo92","0","0","1","0"
"antonid","0","0","1","0"
"ioy","0","0","1","0"
"aiely","0","0","1","0"
"gingrich","0","0","34","0"
"terrify","0","0","2","0"
"aocaoces","0","0","1","0"
"maccallum","4","0","4","0"
"anti.immigrant","0","0","2","0"
"footprint","0","0","2","0"
"nap","0","0","1","0"
"ra","0","0","4","0"
"tubes","0","0","2","0"
"limousines","0","0","2","0"
"mnf","0","0","9","0"
"reverend","0","0","3","0"
"berean","0","0","1","0"
"stanek","0","0","1","0"
"aallu","0","0","1","0"
"bethany","0","0","4","0"
"heim","0","0","3","0"
"decy","0","0","1","0"
"X2oo971","0","0","1","0"
"usaf","0","0","6","0"
"eustace","0","0","4","0"
"fdny.uniformed","0","0","4","0"
"city.wide","0","0","1","0"
"obby","0","0","1","0"
"X7xuy","0","0","1","0"
"grocer","0","0","2","0"
"fiik","0","0","2","0"
"X8om","5","0","3","0"
"eisia","0","0","1","0"
"rk","1","0","2","0"
"headto","0","0","1","0"
"clima","0","0","1","0"
"rzeeet","0","0","2","0"
"rny","0","0","2","0"
"fzeeety","0","0","1","0"
"ltiv","0","0","1","0"
"dweather","0","0","1","0"
"sronsorep","0","0","1","0"
"eiltrete","0","0","1","0"
"runoff","0","0","1","0"
"zety","0","0","1","0"
"rzeeety","0","0","3","0"
"labs","0","0","2","0"
"carey","0","0","1","0"
"xmas","0","0","5","0"
"perrin","0","0","1","0"
"rzeeey","0","0","1","0"
"rzeerty","0","0","3","0"
"rzeert","0","0","1","0"
"raseintey","0","0","1","0"
"untili","0","0","1","0"
"fzeny","0","0","1","0"
"mzerey","0","0","1","0"
"lf","0","0","7","0"
"j_","0","0","1","0"
"t.","0","0","1","0"
"antiblack","0","0","1","0"
"szeertey","0","0","1","0"
"z.iey","0","0","1","0"
"szcely","0","0","1","0"
"midterns","0","0","1","0"
"mcaulifee","0","0","2","0"
"ieeny","0","0","1","0"
"kb","0","0","7","0"
"iesdtey","0","0","1","0"
"izeeri","0","0","1","0"
"izeeiy","0","0","1","0"
"polce","0","0","2","0"
"taffing","0","0","1","0"
"fesr","0","0","1","0"
"yerty","0","0","1","0"
"ept","0","0","2","0"
"arrisonville","0","0","2","0"
"X647o","0","0","1","0"
"nv.","0","0","2","0"
"X.4217","0","0","3","0"
"parkway","0","0","3","0"
"suite","0","0","5","0"
"X314","0","0","3","0"
"X89o12","0","0","3","0"
"summt","0","0","1","0"
"niy","0","0","1","0"
"zeriy","0","0","1","0"
"szeery","0","0","1","0"
"fullreview","0","0","1","0"
"rzety","0","0","2","0"
"msee","0","0","1","0"
"zzertay","0","0","1","0"
"missteps","0","0","2","0"
"ikl","0","0","4","0"
"vagovracea","0","0","1","0"
"iscios","0","0","1","0"
"keith","0","0","38","0"
"X._i___","0","0","1","0"
"clos","0","0","1","0"
"panelto","0","0","1","0"
"worid","0","0","23","0"
"thanked","0","0","1","0"
"lgos","0","0","1","0"
"rzeity","0","0","2","0"
"rzeety","0","0","1","0"
"ssr","0","0","1","0"
"i7","3","0","1","0"
"vagov","0","0","2","0"
"pjollsjzlese","0","0","1","0"
"closs","0","0","1","0"
"gubernatoriai","0","0","3","0"
"nflation","0","0","3","0"
"suppiy","0","0","6","0"
"barccio","0","0","1","0"
"d.vaj","0","0","1","0"
"prefers","0","0","2","0"
"bailing","0","0","1","0"
"yernty","0","0","1","0"
"texvxeq","0","0","6","0"
"solut","0","0","2","0"
"mele","0","0","3","0"
"most.watched","0","0","1","0"
"auctioning","0","0","1","0"
"fonzie","0","0","1","0"
"jacket","0","0","1","0"
"preferences","0","0","3","0"
"jvirginia","0","0","2","0"
"woodhouse","0","0","1","0"
"responded","5","0","2","0"
"enosha","0","0","1","0"
"stings","0","0","1","0"
"nostrils","0","0","1","0"
"blooms","0","0","1","0"
"X_.","0","0","2","0"
"efund","0","0","1","0"
"accomplishments","0","0","1","0"
"homeward","0","0","1","0"
"bound","5","0","3","0"
"tmenty","0","0","1","0"
"souls","0","0","1","0"
"liasson","0","0","2","0"
"cnc","0","0","1","0"
"menty","0","0","1","0"
"mapping","0","0","1","0"
"mdy","0","0","1","0"
"bret","0","0","55","0"
"baier","0","0","40","0"
"hoff","0","0","15","0"
"ieilix94","0","0","1","0"
"blackface","0","0","3","0"
"sleepy","0","0","1","0"
"joes","0","0","4","0"
"juices","0","0","1","0"
"coughs","0","0","7","0"
"cringe","0","0","5","0"
"picasso","0","0","2","0"
"rammed","0","0","2","0"
"throats","0","0","2","0"
"slipped","3","0","2","0"
"scooch","0","0","1","0"
"unfinished","0","0","1","0"
"unvetted","0","0","2","0"
"bandits","0","0","1","0"
"burr","0","0","1","0"
"dumped","0","0","2","0"
"blatant","0","0","3","0"
"vwierd","0","0","1","0"
"racy","0","0","1","0"
"inlibrary","0","0","1","0"
"soros","0","0","7","0"
"pacs","0","0","1","0"
"censors","0","0","5","0"
"teeee","0","0","1","0"
"tex","0","0","1","0"
"debacles","0","0","3","0"
"justi","0","0","5","0"
"uuuuuu","0","0","2","0"
"strohmier","0","0","18","0"
"eeclol","0","0","1","0"
"alleyes","0","0","1","0"
"crine","0","0","1","0"
"acnandent","0","0","1","0"
"droplets","0","0","1","0"
"X5.year","0","0","1","0"
"wheezy","0","0","1","0"
"coughing","0","0","4","0"
"corke","0","0","2","0"
"rosiak","0","0","12","0"
"toudoun","0","0","1","0"
"skirt.wearing","0","0","4","0"
"fluid","0","0","3","0"
"qelieffactorc","0","0","9","0"
"maskiess","0","0","1","0"
"guillermo","0","0","5","0"
"peta","0","0","4","0"
"sickening","0","0","1","0"
"puppy","0","0","5","0"
"experiment","0","0","1","0"
"four.star","0","0","1","0"
"ewt","0","0","1","0"
"isdeadeven","0","0","1","0"
"demonize","0","0","13","0"
"chesa","0","0","3","0"
"boudin","0","0","3","0"
"eey","0","0","1","0"
"cared","0","0","6","0"
"rightfully","0","0","4","0"
"feminists","0","0","2","0"
"bestie","0","0","5","0"
"sell.out","0","0","3","0"
"X522","0","0","2","0"
"X595","0","0","1","0"
